"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-01-01","0.00",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","15",",,7","5",",,7","6",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-01-02","0.00",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","14",",,7","4",",,7","5",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-01-03","0.00",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","13",",,7","3",",,7","4",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-01-04","0.20",",,7,0800","2.0",",,7,0800","2.0",",,7,0800","29",",,7","4",",,7","24",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-01-05","0.30",",,7,0800","7.5",",,7,0800","9.0",",,7,0800","25",",,7","8",",,7","9",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-01-06","0.00",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","14",",,7","6",",,7","7",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-01-07","0.00",",,7,0800","0.0",",,7,0800","0.0",",,7,0800",,,,,,
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-01-08","0.00",",,7,0800","0.0",",,7,0800","0.0",",,7,0800",,,,,,
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-01-09","0.00",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","38",",,7","19",",,7","34",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-01-10","0.00",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","36",",,7","21",",,7","34",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-01-11","0.00",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","37",",,7","18",",,7","35",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-01-12","0.01",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","56",",,7","35",",,7","55",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-01-13","0.46",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","58",",,7","35",",,7","35",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-01-14","0.00",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","36",",,7","13",",,7","13",",,7,0800"
"USC00308577","SYOSSET, NY US","40.8216","-73.4908","80.8","2018-01-15","0.00",",,7,0800","0.0",",,7,0800","0.0",",,7,0800","22",",,7","-99",",G,7","16",",,7,0800"
