"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WESF","WESF_ATTRIBUTES"
"US1NYNS0042","ALBERTSON 0.2 SSE, NY US","40.769131","-73.647484","43.3","2019-01-01",,,,,"1.49",",,N",,,,,,,,,,,,,,
"US1NYNS0042","ALBERTSON 0.2 SSE, NY US","40.769131","-73.647484","43.3","2019-01-02",,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,
"US1NYNS0042","ALBERTSON 0.2 SSE, NY US","40.769131","-73.647484","43.3","2019-01-03",,,,,"0.00","T,,N",,,,,,,,,,,,,,
"US1NYNS0042","ALBERTSON 0.2 SSE, NY US","40.769131","-73.647484","43.3","2019-01-04",,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,
"US1NYNS0042","ALBERTSON 0.2 SSE, NY US","40.769131","-73.647484","43.3","2019-01-05",,,,,"0.25",",,N",,,,,,,,,,,,,,
"US1NYNS0042","ALBERTSON 0.2 SSE, NY US","40.769131","-73.647484","43.3","2019-01-06",,,,,"0.39",",,N",,,,,,,,,,,,,,
"US1NYNS0042","ALBERTSON 0.2 SSE, NY US","40.769131","-73.647484","43.3","2019-01-07",,,,,"0.00",",,N",,,,,,,,,,,,,,
"US1NYNS0042","ALBERTSON 0.2 SSE, NY US","40.769131","-73.647484","43.3","2019-01-08",,,,,"0.07",",,N",,,,,,,,,,,,,,
"US1NYNS0042","ALBERTSON 0.2 SSE, NY US","40.769131","-73.647484","43.3","2019-01-09",,,,,"0.15",",,N",,,,,,,,,,,,,,
"US1NYNS0042","ALBERTSON 0.2 SSE, NY US","40.769131","-73.647484","43.3","2019-01-10",,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,
"US1NYNS0042","ALBERTSON 0.2 SSE, NY US","40.769131","-73.647484","43.3","2019-01-11",,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,
"US1NYNS0042","ALBERTSON 0.2 SSE, NY US","40.769131","-73.647484","43.3","2019-01-12",,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,
"US1NYNS0042","ALBERTSON 0.2 SSE, NY US","40.769131","-73.647484","43.3","2019-01-13",,,,,"0.00",",,N",,,,,,,,,,,,,,
"US1NYNS0042","ALBERTSON 0.2 SSE, NY US","40.769131","-73.647484","43.3","2019-01-14",,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,
"US1NYNS0042","ALBERTSON 0.2 SSE, NY US","40.769131","-73.647484","43.3","2019-01-15",,,,,"0.00",",,N",,,,,,,,,,,,,,
"US1NYNS0042","ALBERTSON 0.2 SSE, NY US","40.769131","-73.647484","43.3","2019-01-16",,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,
"US1NYNS0042","ALBERTSON 0.2 SSE, NY US","40.769131","-73.647484","43.3","2019-01-17",,,,,"0.00",",,N",,,,,,,,,,,,,,
"US1NYNS0042","ALBERTSON 0.2 SSE, NY US","40.769131","-73.647484","43.3","2019-01-18",,,,,"0.04",",,N","0.4",",,N","0.4",",,N",,,,,,,"0.0",",,N","0.0",",,N"
"US1NYNS0042","ALBERTSON 0.2 SSE, NY US","40.769131","-73.647484","43.3","2019-01-19",,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,
"US1NYNS0042","ALBERTSON 0.2 SSE, NY US","40.769131","-73.647484","43.3","2019-01-20",,,,,"1.35",",,N",,,,,,,,,,,,,,
"US1NYNS0042","ALBERTSON 0.2 SSE, NY US","40.769131","-73.647484","43.3","2019-01-21",,,,,"0.10",",,N",,,,,,,,,,,,,,
"US1NYNS0042","ALBERTSON 0.2 SSE, NY US","40.769131","-73.647484","43.3","2019-01-22",,,,,"0.00",",,N",,,,,,,,,,,,,,
"US1NYNS0042","ALBERTSON 0.2 SSE, NY US","40.769131","-73.647484","43.3","2019-01-23",,,,,"0.00",",,N","0.0",",,N",,,,,,,,,,,,
"US1NYNS0042","ALBERTSON 0.2 SSE, NY US","40.769131","-73.647484","43.3","2019-01-24",,,,,"0.32",",,N",,,,,,,,,,,,,,
"US1NYNS0042","ALBERTSON 0.2 SSE, NY US","40.769131","-73.647484","43.3","2019-01-25",,,,,"1.67",",,N",,,,,,,,,,,,,,
